ID	Result
gdmA_1...gdmA...gdmA_2	-0.0961760486583466
group_199	-0.112073703940666
hylB...hylB_2...hylB_1	-0.167016090604905
group_1215	-0.0617462482171846
rpoE...rpoE_2...rpoE_1	-0.209585853509116
appA...appA_2...appA_1	-0.151234789777596
yezG_7...yezG_8...yezG_2...yezG_6...yezG_5...yezG_3...yezG_10...yezG_1...yezG_4...yezG...yezG_9	-0.0118741488687551
group_386	0.344124958779972
group_2342	-0.0961688424823596
group_1011	0.187120833843662
group_1018	0.291645433742638
group_2638	-0.0850130794372842
group_185	0.355650799942682
hsdS	-0.00371938186275979
group_1900	-0.0562627258745736
group_228	-0.0865354701166813
group_527	-0.0385396805702911
desK...desK_1...desK_2...uhpB	0.022978699502716
group_1009	-0.140943942148949
entD_2...entE...entD...entD_1...entD_3	-0.0543840713681397
group_1856	0.411352533136901
speC_1...speC_3	-0.208975606741055
group_791	-0.0959303534184031
cls_1...cls_2...clsA...cls_3	-0.130859867735599
group_2388	-0.201314273478801
group_2353	-0.0930138624594925
group_1711	-0.152114372023127
group_2610	-0.0358569188901132
group_2438	0.649310470564841
oppF_2...oppF_1...oppF_3...ddpF	-0.125187829981175
group_272	0.525235907275124
group_988	-0.0555856579122519
group_627	0.611841026449318
group_759	0.413530797039357
group_1211	0.181179970956194
group_2501	0.523077934432874
group_2215	-0.128379553970701
mrpB...mrpB_2...mrpB_1	-0.194239525552071
group_1325	-0.0573917431919047
repE_2	0.303921043567097
group_2467	-0.218480351501978
group_2636	-0.0822568500649978
natA_3	-0.153711978672896
group_2234	-0.0923259903680851
group_1279	-0.162403406174048
group_734	0.417592322388588
wbgU...galE...galE1...wbgU_1...fcl...wbgU_2	-0.223795681714988
group_430	0.326175654969805
group_2616	0.245460097898984
bglA_2...bglA	-0.108567372274904
yoeB	-0.21925686667417
group_1962	-0.133165302242364
ywnA	-0.170887132429552
mvaA...mvaA_1...mvaA_2	-0.196431225129058
group_2443	-0.140384287263611
nirC...nirC_2	-0.196117519617595
group_632	-0.139572951476096
clpP1...clpP1_2...clpP_2...clpP_1	0.378262392498412
group_653	0.305748120993198
group_1815	-0.0898638600726992
immR_2	0.291316497027942
group_2025	-0.223794951082505
group_676	-0.125870141070095
tagE_1...tagE_3...gtf1_1...gtf1_2	-0.148882993257124
mnhD1_2...mrpD...mnhD1_1...mnhD1_3	-0.206009429071735
group_1062	-0.17695024260116
catD	-0.0856140029219346
entG_1...entG...entG_2	-0.10825831303943
group_553	0.398182856532651
group_179	0.435317478152273
group_377	0.468596945227572
group_1231	-0.165103628408423
oppD_2...oppD_1...oppD_4...appA_1...ddpD...oppD_5...oppD_3...ddpD_2...gsiA_2...sapD	-0.131865572677091
chp_1...chp_2...chp	0.313287224594358
aldC_2...aldC_1...aldC_3	-0.186645265658248
group_628	-0.134116048046765
group_417	0.534456720678088
ftsK_1	0.13946083185001
