"sample_id","cc"
31874,"CC93"
31876,"CC93"
31878,"CC93"
31879,"CC93"
31880,"CC93"
31883,"CC93"
31884,"CC93"
31885,"CC93"
31886,"CC93"
31887,"CC93"
31888,"CC93"
31889,"CC93"
31890,"CC93"
31891,"CC93"
31893,"CC93"
31894,"CC93"
31898,"CC93"
31899,"CC93"
31901,"CC93"
31902,"CC93"
31904,"CC93"
31905,"CC93"
31907,"CC93"
31909,"CC93"
31911,"CC93"
31912,"CC93"
31913,"CC93"
31914,"CC93"
31915,"CC93"
31916,"CC93"
31917,"CC93"
31918,"CC93"
31919,"CC93"
31920,"CC93"
31921,"CC93"
31922,"CC93"
31923,"CC93"
31925,"CC93"
31927,"CC93"
31928,"CC93"
31929,"CC93"
31931,"CC93"
31932,"CC93"
31934,"CC93"
31935,"CC93"
31936,"CC93"
31938,"CC93"
31939,"CC93"
31940,"CC93"
31941,"CC93"
31944,"CC93"
31946,"CC93"
31947,"CC93"
31948,"CC93"
31950,"CC93"
31952,"CC93"
31955,"CC93"
31956,"CC93"
31957,"CC93"
31960,"CC93"
31961,"CC93"
31962,"CC93"
31963,"CC93"
31964,"CC93"
31965,"CC93"
31966,"CC93"
31967,"CC93"
31968,"CC93"
31969,"CC93"
31971,"CC93"
31972,"CC93"
31973,"CC93"
31975,"CC93"
31978,"CC93"
31981,"CC93"
37528,"CC93"
37531,"CC93"
37538,"CC93"
37539,"CC93"
37542,"CC93"
37551,"CC93"
37553,"CC93"
37559,"CC93"
37560,"CC93"
37562,"CC93"
37563,"CC93"
37564,"CC93"
37576,"CC93"
37579,"CC93"
37584,"CC93"
37588,"CC93"
37589,"CC93"
37591,"CC93"
37596,"CC93"
37601,"CC93"
37602,"CC93"
37612,"CC93"
37625,"CC93"
37632,"CC93"
37634,"CC93"
37637,"CC93"
37650,"CC93"
37654,"CC93"
37655,"CC93"
37667,"CC93"
37670,"CC93"
37675,"CC93"
37676,"CC93"
37678,"CC93"
37681,"CC93"
37691,"CC93"
37692,"CC93"
37693,"CC93"
37696,"CC93"
39068,"CC93"
39069,"CC93"
39070,"CC93"
12738,"CC93"
20060,"CC93"
6406,"CC93"
6474,"CC93"
13412,"CC93"
20004,"CC93"
14405,"CC93"
28116,"CC93"
12713,"CC93"
6476,"CC93"
1146,"CC97"
1157,"CC97"
1173,"CC97"
1176,"CC97"
1344,"CC97"
1358,"CC97"
1359,"CC97"
1504,"CC97"
1663,"CC97"
1664,"CC97"
1667,"CC97"
1697,"CC97"
2966,"CC97"
10726,"CC97"
18302,"CC97"
28688,"CC97"
30264,"CC97"
38413,"CC97"
38416,"CC97"
38423,"CC97"
38430,"CC97"
38496,"CC97"
38500,"CC97"
38509,"CC97"
41647,"CC97"
172,"CC97"
173,"CC97"
175,"CC97"
176,"CC97"
394,"CC97"
398,"CC97"
555,"CC97"
557,"CC97"
558,"CC97"
586,"CC97"
593,"CC97"
736,"CC97"
742,"CC97"
1141,"CC97"
1142,"CC97"
1143,"CC97"
1145,"CC97"
1147,"CC97"
1148,"CC97"
1149,"CC97"
1151,"CC97"
1152,"CC97"
1154,"CC97"
1155,"CC97"
1156,"CC97"
1158,"CC97"
1159,"CC97"
1160,"CC97"
1161,"CC97"
1163,"CC97"
1164,"CC97"
1165,"CC97"
1166,"CC97"
1167,"CC97"
1168,"CC97"
1169,"CC97"
1170,"CC97"
1171,"CC97"
1172,"CC97"
1174,"CC97"
1177,"CC97"
1178,"CC97"
1179,"CC97"
1180,"CC97"
1181,"CC97"
1343,"CC97"
1345,"CC97"
1351,"CC97"
1352,"CC97"
1353,"CC97"
1360,"CC97"
1497,"CC97"
1498,"CC97"
1499,"CC97"
1500,"CC97"
1501,"CC97"
1505,"CC97"
1535,"CC97"
1554,"CC97"
1668,"CC97"
1669,"CC97"
1672,"CC97"
1673,"CC97"
1675,"CC97"
1680,"CC97"
1681,"CC97"
1685,"CC97"
1686,"CC97"
1694,"CC97"
1704,"CC97"
1721,"CC97"
1722,"CC97"
1723,"CC97"
1724,"CC97"
1733,"CC97"
1736,"CC97"
2375,"CC97"
2376,"CC97"
2449,"CC97"
2459,"CC97"
2462,"CC97"
2669,"CC97"
2717,"CC97"
2782,"CC97"
2976,"CC97"
3408,"CC97"
3410,"CC97"
3561,"CC97"
3703,"CC97"
3711,"CC97"
3712,"CC97"
3740,"CC97"
3980,"CC97"
3981,"CC97"
3982,"CC97"
3988,"CC97"
4215,"CC97"
4995,"CC97"
5003,"CC97"
5486,"CC97"
6847,"CC97"
8070,"CC97"
8072,"CC97"
8114,"CC97"
8116,"CC97"
8738,"CC97"
8739,"CC97"
8767,"CC97"
8770,"CC97"
8773,"CC97"
8796,"CC97"
8803,"CC97"
8818,"CC97"
8844,"CC97"
8864,"CC97"
8954,"CC97"
9054,"CC97"
9073,"CC97"
9106,"CC97"
9116,"CC97"
9156,"CC97"
9157,"CC97"
9258,"CC97"
9310,"CC97"
9425,"CC97"
9501,"CC97"
9513,"CC97"
9928,"CC97"
9955,"CC97"
9981,"CC97"
10011,"CC97"
10017,"CC97"
10047,"CC97"
10070,"CC97"
11942,"CC97"
12295,"CC97"
12637,"CC97"
12806,"CC97"
12808,"CC97"
12851,"CC97"
12922,"CC97"
13274,"CC97"
13275,"CC97"
13284,"CC97"
13495,"CC97"
13499,"CC97"
13972,"CC97"
14032,"CC97"
14276,"CC97"
14676,"CC97"
14678,"CC97"
14680,"CC97"
15004,"CC97"
15035,"CC97"
15036,"CC97"
15181,"CC97"
15621,"CC97"
15785,"CC97"
15814,"CC97"
16008,"CC97"
16092,"CC97"
16418,"CC97"
16852,"CC97"
16909,"CC97"
16993,"CC97"
17006,"CC97"
17091,"CC97"
17151,"CC97"
17155,"CC97"
17189,"CC97"
17205,"CC97"
17207,"CC97"
17272,"CC97"
17284,"CC97"
17311,"CC97"
17325,"CC97"
17338,"CC97"
17353,"CC97"
17354,"CC97"
17412,"CC97"
17414,"CC97"
18210,"CC97"
18648,"CC97"
18652,"CC97"
18991,"CC97"
18995,"CC97"
19047,"CC97"
19102,"CC97"
19198,"CC97"
19438,"CC97"
19471,"CC97"
19478,"CC97"
19657,"CC97"
19711,"CC97"
19776,"CC97"
20002,"CC97"
20964,"CC97"
21019,"CC97"
21979,"CC97"
22008,"CC97"
22010,"CC97"
22029,"CC97"
22045,"CC97"
22055,"CC97"
22061,"CC97"
22078,"CC97"
22085,"CC97"
22100,"CC97"
22110,"CC97"
22121,"CC97"
22162,"CC97"
22166,"CC97"
22267,"CC97"
22400,"CC97"
22407,"CC97"
22419,"CC97"
22449,"CC97"
22542,"CC97"
22559,"CC97"
22977,"CC97"
23184,"CC97"
23368,"CC97"
23382,"CC97"
23389,"CC97"
23826,"CC97"
23867,"CC97"
24072,"CC97"
24097,"CC97"
24282,"CC97"
24409,"CC97"
24594,"CC97"
24647,"CC97"
24693,"CC97"
24694,"CC97"
24815,"CC97"
24976,"CC97"
24979,"CC97"
25052,"CC97"
25074,"CC97"
25168,"CC97"
25215,"CC97"
25251,"CC97"
25273,"CC97"
25444,"CC97"
25513,"CC97"
25530,"CC97"
25745,"CC97"
25788,"CC97"
25795,"CC97"
25928,"CC97"
27107,"CC97"
27172,"CC97"
27336,"CC97"
27376,"CC97"
27458,"CC97"
27500,"CC97"
27533,"CC97"
27738,"CC97"
28153,"CC97"
28298,"CC97"
28836,"CC97"
28846,"CC97"
29072,"CC97"
29093,"CC97"
29123,"CC97"
29278,"CC97"
29287,"CC97"
29328,"CC97"
30255,"CC97"
30345,"CC97"
30391,"CC97"
30397,"CC97"
30443,"CC97"
30603,"CC97"
30680,"CC97"
30727,"CC97"
30737,"CC97"
30744,"CC97"
30748,"CC97"
30767,"CC97"
30975,"CC97"
31003,"CC97"
31035,"CC97"
31036,"CC97"
