ID	Result
group_2644	-0.0939808387673345
aspC	-0.44348150186278
trpD2...trpD_2...trpD...trpD_1	-0.395328614389507
gltR_1...yofA...gltR_2	-0.0861551107729152
trpD2...trpD...trpD_2...trpD_1	-0.451321530880116
group_406	-0.0952510030217378
lpl2_7...lpl2_6...lpl2_2...lpl2_3...lpl2_4...lpl2_5	0.0555152935817269
group_2319	-0.19739741377212
lpl2_2...lpl2_1...lpl2_3...lpl2	-0.113148212686723
group_1911	-0.269311126914816
group_448	0.290332260666274
group_755	-0.219956689517124
scn_2...scn_4	-0.492367331617918
ykuT_1...ykuT	-0.361579168171489
ptsG_1...glcB_2...ptsG_3	-0.284127139968155
narX...narX_2	-0.258852227648754
sraP_2...sraP_1...sraP...sasG...sraP_3	0.363813592909655
group_2124	-0.257654560408535
murJ_1	-0.437199087025506
group_726	-0.143618819333195
group_114	-0.175315070234968
group_749	-0.294234258872897
entS	0.0185455228616791
yezG_6...yezG_4...yezG_7...yezG_3...yezG_1...yezG_2...yezG_5...yezG_8	0.0943787170068697
group_2276	-0.0805574644388159
ydfJ_2...ydfJ...ydfJ_1	-0.26080299922071
group_813	0.0809494298259609
group_54	-0.0684444919844922
recD	-0.0223062698159753
group_940	-0.225834795598372
splF_1...splD...splF...splE_2...splB_2...splE_3...splE_1...splB_1...splE...splF_2...splD_1...splD_2	0.128597188225216
tdcB...tdcB_2...tdcB_1	-0.231127635238258
iscS_2...nifS...iscS_1...iscS_3	-0.340464529424151
group_773	-0.252840485140783
carA_2	-0.354678410550675
xecD...bacC_2...bacC	-0.258996768445374
bceB_2...bceB_3...bceB_1...bceB_4	-0.312756667451616
group_2308	-0.535412597274983
group_2089	-0.2368446172393
lpl2_9	-0.0553682943238953
group_2353	0.0754693926182606
group_2393	-0.210403021659453
fosB	-0.0598442303738503
group_806	-0.467368195431555
group_833	-0.270585350112343
group_2035	-0.504977479835019
leuA_1...leuA_2...leuA_3	-0.0342812917202239
yceI	-0.360356838858088
yusV...fecE	-0.408044167958469
bacC...xecD...bacC_2...bacC_1...lvr...dhbA	-0.197332109528384
group_1627	-0.16970162678315
group_441	-0.235201744342668
mvaA...mvaA_1...mvaA_2	-0.334927219385697
group_2519	-0.357473408289576
trpC	-0.440157673063836
cycA_2...cycA_3...cycA_1	-0.411346183841308
group_1803	-0.38571081941967
group_2634	-0.11423155448775
yhfT_1...yhfT...menE_1...menE...menE_2...yhfT_2	-0.42073134822695
group_2388	-0.326610613918798
group_1852	-0.365856436769115
scn_2...scn_1...scn_3	-0.230842163834139
group_1062	-0.28579520511555
mrpA_1...mrpA...mnhA1_2...mrpA_2	-0.50887466420201
desR...cheB...desR_2...desR_1	-0.351162093729016
isaB_2...isaB_3...isaB...isaB_1	-0.377036138039898
lukS...hlgC...hlgC_1...hlgA_2...hlgC_2	-0.316929322342316
group_680	-0.428470685566189
trpA...trpA_2...trpA_1	-0.269731969366832
tst_2...tst_1...tst	-0.316574563195313
group_98	-0.289900624295915
group_1195	-0.497385805437827
mrpB...mrpB_2...mrpB_1	-0.393679995326622
tsaC...ywlC_2	-0.118404542284596
group_1908	-0.273996655102593
esxC...esxB_2...esxB...esxB_1	-0.0160631176484406
group_370	-0.0681006157460995
bceA_3...bceA_1	-0.450152850644353
yezG_2...yezG_8...yezG_7...yezG_12...yezG_6...yezG_5...yezG_3...yezG_4...yezG_9...yezG_1...yezG_10	-0.0255607744729123
gph_4...gph_2...gph_3...ppaX_1	0.110332708159935
spa_2...spa_1...spa	0.613411846972389
rnhA	-0.200650725734278
pcp_2...pcp	-0.369930734128865
sarT...sarT_1	0.00173900508962215
group_920	-0.458940110912814
group_2346	-0.053470301166802
dck_2...dck...dck_1	-0.453585803007526
group_882	-0.501593980299369
group_1962	-0.171375762965681
group_2120	-0.171269687592932
group_2421	-0.148353657393067
speH	-0.276151788555452
group_414	-0.270196627710089
group_2629	0.0505618582174353
ftsE...fetA...fetA_2...fetA_1	-0.475713372673585
azo1...azo1_1...azo1_2	-0.419701726651131
group_1839	-0.508092410562578
group_954	-0.215274677404506
group_162	-0.445160734368926
mnhD1_2...mrpD...mnhD1_1...mnhD1_3	-0.346997312454567
group_863	-0.109024158881929
tcyC...tcyC_2...tcyN...tcyC_1...tcyC_3...yxeO	-0.331578957556204
group_2297	-0.0741066440029794
group_2412	-0.0857365273816915
desK...desK_2...uhpB	-0.311047207684556
dppE_2...oppA...dppE_1...ygiS...dppE_3	-0.249785966738755
group_2318	-0.172470497256109
lukDv_2...hlgB...hlgB_1...lukF	-0.504954033457541
group_628	-0.23512172852386
ebh_1...ebh_3...ebh_2...ebhA...ebh_7...ebh_4...ebhA_2	-0.257510776487807
group_2043	0.0445462695665638
opuD_1...opuD_3...betL_2...opuD_2...betL...opuD_4	-0.432163294577057
essD...essD_2...essD_1...essD_3	0.0115528766038737
group_906	-0.435225406808678
group_2431	-0.106766011483208
group_2432	-0.181998278650654
group_1703	-0.157420889745497
nirC	-0.458385516801346
oppF_2...oppF_3...oppF_1	-0.252997825301548
group_1982	-0.503521960924881
group_2181	-0.0999144769417676
macB...macB_2...macB_1	-0.148276902057906
catD_1...catD	-0.0126128746533198
group_1238	-0.459178032363404
oppD_3...oppD_4...oppD_5	-0.181426329879096
group_1990	-0.438407291244791
group_1789	-0.383780585110171
esxD	-0.0723721315522385
group_241	-0.208887111271454
arg_2...arg...arg_1	-0.512441169186273
group_1324	-0.41653106442497
sarU...sarU_1...sarU_2	-0.0983204385799538
ptsG_1...ptsG_3...glcB_1...ptsG_2...bglF	-0.184472752882252
group_656	0.0861566116894308
group_1769	-0.22924526822443
tipA...mta...mta_1	-0.147409954638517
appA...appA_2...appA_1	-0.0875694691924642
hlgA_2...hlgC...lukS...hlgA	-0.349478451333156
aur_2...aur_1...aur	-0.36993813131029
oppC_2...oppC_1...dppC	-0.168880421535571
group_548	-0.179842251964747
group_2342	-0.137870202180619
vatD	0.0169036062899323
group_2205	-0.142852864074469
ebh_8...ebh_7...ebhA...ebh_1...ebh_2...ebh_6...ebh_3...ebh_5...ebhA_1...ebh...ebhA_2...ebh_4	-0.302704116553889
yceI...yceI_2	-0.327972924650912
mnhC1_2	-0.495278289423857
group_2262	-0.159059764096887
oppB_1...oppB_2...dppB	-0.175431728069948
desK...desK_1...desK_2...uhpB	-0.166492200302916
xerD_3...xerD_2	-0.436480748873658
group_1232	-0.2929506517315
group_1996	-0.137407929596766
lpl2_1...lpl2_6...lpl2_7...lpl2...lpl2_2...lpl2_10...lpl2_5...lpl2_4...lpl2_3	0.0409197414918367
kanE	0.0141621147269049
group_830	-0.337897820343268
group_1694	-0.470360189842249
group_1582	-0.180950400140328
group_323	-0.507003029309143
group_204	-0.115088830096361
ktrB_2	-0.501439762956251
group_218	-0.0796194375517126
group_2464	-0.123660742361862
group_1882	-0.142258618811385
est_2...est_1	-0.415664513269242
group_1285	-0.089218374641183
tst_1...speC_1...tst_2...speC...speC_2	-0.502269408399253
entD_2...entE...entD...entD_1...entD_3	0.11192353306065
group_2467	-0.339395126869297
graS_2...graS_3...graS_1	-0.453862430737154
relJ	-0.231037512959189
group_2343	0.0361294758902946
group_682	-0.168850377072473
group_2284	-0.402666900243765
group_271	-0.00136827909749438
group_1043	-0.464357430246602
cadC...cadC_1	0.362024768311799
